STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EDITION,Edition,SCALE,Scale,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV_TDG_SPS_GPC@DF_GOV_TDG_2023(1.0),"Trust and democratic governance - Government at a glance quantitative indicators, 2023 edition",I,A,Annual,OECD_REP,OECD average country,TRUST_CS_INNO,Trust in civil service: government agency adopts innovative ideas,PT_RESP,Percentage of respondents,_Z,Not applicable,2023,2023,LIK,Likely,TDG,Trust and democratic governance,2021,,70,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_TDG_SPS_GPC@DF_GOV_TDG_2023(1.0),"Trust and democratic governance - Government at a glance quantitative indicators, 2023 edition",I,A,Annual,GRC,Greece,PE_SWGD,"Political efficacy, having a say in what the government does",PT_RESP,Percentage of respondents,_Z,Not applicable,2023,2023,CON,Confident,TDG,Trust and democratic governance,2021,,11.55,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_TDG_SPS_GPC@DF_GOV_TDG_2023(1.0),"Trust and democratic governance - Government at a glance quantitative indicators, 2023 edition",I,A,Annual,SWE,Sweden,PE_SWGD,"Political efficacy, having a say in what the government does",PT_RESP,Percentage of respondents,_Z,Not applicable,2023,2023,CON,Confident,TDG,Trust and democratic governance,2021,,13.27,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_TDG_SPS_GPC@DF_GOV_TDG_2023(1.0),"Trust and democratic governance - Government at a glance quantitative indicators, 2023 edition",I,A,Annual,FIN,Finland,TRUST_LG,Trust in local government,PT_RESP,Percentage of respondents,_Z,Not applicable,2023,2023,HMH,High and moderately high,TDG,Trust and democratic governance,2021,,52.13,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_TDG_SPS_GPC@DF_GOV_TDG_2023(1.0),"Trust and democratic governance - Government at a glance quantitative indicators, 2023 edition",I,A,Annual,GBR,United Kingdom,TRUST_LG,Trust in local government,PT_RESP,Percentage of respondents,_Z,Not applicable,2023,2023,HMH,High and moderately high,TDG,Trust and democratic governance,2021,,42.02,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_TDG_SPS_GPC@DF_GOV_TDG_2023(1.0),"Trust and democratic governance - Government at a glance quantitative indicators, 2023 edition",I,A,Annual,SVK,Slovak Republic,PE_SWGD,"Political efficacy, having a say in what the government does",PT_RESP,Percentage of respondents,_Z,Not applicable,2023,2023,CON,Confident,TDG,Trust and democratic governance,2021,,3.36,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_TDG_SPS_GPC@DF_GOV_TDG_2023(1.0),"Trust and democratic governance - Government at a glance quantitative indicators, 2023 edition",I,A,Annual,IRL,Ireland,TRUST_CS_INNO,Trust in civil service: government agency adopts innovative ideas,PT_RESP,Percentage of respondents,_Z,Not applicable,2023,2023,LIK,Likely,TDG,Trust and democratic governance,2021,,91,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_TDG_SPS_GPC@DF_GOV_TDG_2023(1.0),"Trust and democratic governance - Government at a glance quantitative indicators, 2023 edition",I,A,Annual,LUX,Luxembourg,TRUST_DAT,Personal data used for legitimate purposes,PT_RESP,Percentage of respondents,_Z,Not applicable,2023,2023,UNL,Unlikely,TDG,Trust and democratic governance,2021,,24.83,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_TDG_SPS_GPC@DF_GOV_TDG_2023(1.0),"Trust and democratic governance - Government at a glance quantitative indicators, 2023 edition",I,A,Annual,POL,Poland,PE_SWGD,"Political efficacy, having a say in what the government does",PT_RESP,Percentage of respondents,_Z,Not applicable,2023,2023,CON,Confident,TDG,Trust and democratic governance,2021,,5.76,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_TDG_SPS_GPC@DF_GOV_TDG_2023(1.0),"Trust and democratic governance - Government at a glance quantitative indicators, 2023 edition",I,A,Annual,JPN,Japan,TRUST_LE,Trust legislature,PT_RESP,Percentage of respondents,_Z,Not applicable,2023,2023,HMH,High and moderately high,TDG,Trust and democratic governance,2021,,19.29,,A,Normal value,0,Units,_Z,Not applicable,,
